addr	size	name	confidence	args	ret	callers	callees	frame	saved	tags
0x80012480	220	func_80012480	verified	0	u32	2	5	24	ra	
0x8001255C	272	func_8001255C	verified	0	u32	1	21	32	ra	
0x8001266C	8	func_8001266C	low	0	void	0	0	0		leaf|orphan
0x80012674	12	func_80012674	low	1	u32	0	0	0		leaf|orphan
0x80012680	128	func_80012680	low	1	u32	1	0	0		leaf|orphan
0x80012700	8	func_80012700	low	0	u32	0	0	0		leaf|orphan
0x80012708	180	func_80012708	low	0	u32	1	1	0	s0|ra	orphan
0x800127BC	88	func_800127BC	medium	0	u32	0	1	24	ra	orphan
0x80012814	860	func_80012814	medium	0	u32	1	15	0	s0|s1|s2|s3|s4|s5|ra	addr_taken|orphan
0x80012B70	8	func_80012B70	low	0	void	0	0	0		leaf|orphan
0x80012B78	20	func_80012B78	low	0	u32	2	0	0		leaf|orphan
0x80012B8C	44	func_80012B8C	high	0	u32	1	0	0		leaf|addr_taken
0x80012BB8	8	func_80012BB8	low	0	void	0	0	0		leaf|orphan
0x80012BC0	56	func_80012BC0	verified	1	void	1	3	24	s0|ra	
0x80012BF8	84	func_80012BF8	verified	0	u32	1	2	24	ra	
0x80012C4C	8	func_80012C4C	low	0	void	0	0	0		leaf|orphan
0x80012C54	8	func_80012C54	low	0	void	0	0	0		leaf|orphan
0x80012C5C	108	func_80012C5C	medium	0	u32	20	3	32	s0|s1|ra	orphan
0x80012CC8	92	func_80012CC8	medium	0	u32	0	3	24	s0|ra	orphan
0x80012D24	88	func_80012D24	medium	0	u32	1	1	24	s0|ra	addr_taken|orphan
0x80012D7C	108	func_80012D7C	medium	0	u32	0	2	24	s0|ra	orphan
0x80012DE8	56	func_80012DE8	medium	0	u32	1	2	24	ra	addr_taken|orphan
0x80012E20	104	func_80012E20	medium	0	u32	1	4	24	s0|ra	addr_taken|orphan
0x80012E88	88	func_80012E88	medium	0	u32	1	4	0	ra	addr_taken|orphan
0x80012EE0	136	func_80012EE0	medium	0	u32	1	4	32	s0|s1|ra	addr_taken|orphan
0x80012F68	48	func_80012F68	low	0	u32	0	1	0		leaf|orphan
0x80012F98	160	func_80012F98	medium	0	u32	1	4	0	ra	addr_taken|orphan
0x80013038	80	func_80013038	high	0	u32	2	1	0	ra	addr_taken
0x80013088	160	func_80013088	medium	0	u32	3	6	24	s0|ra	addr_taken|orphan
0x80013128	64	func_80013128	medium	0	u32	1	3	24	ra	addr_taken|orphan
0x80013168	132	func_80013168	medium	0	u32	2	5	24	s0|ra	orphan
0x800131EC	148	func_800131EC	medium	0	u32	1	6	24	s0|ra	addr_taken|orphan
0x80013280	364	func_80013280	medium	0	u32	1	8	32	s0|s1|s2|ra	addr_taken|orphan
0x800133EC	204	func_800133EC	medium	0	u32	1	8	24	s0|ra	addr_taken|orphan
0x800134B8	100	func_800134B8	medium	0	u32	1	5	24	ra	addr_taken|orphan
0x8001351C	92	func_8001351C	medium	0	u32	1	3	24	ra	addr_taken|orphan
0x80013578	128	func_80013578	medium	0	u32	1	4	24	ra	addr_taken|orphan
0x800135F8	88	func_800135F8	medium	0	u32	2	4	0	ra	addr_taken|orphan
0x80013650	60	func_80013650	medium	0	u32	1	2	24	ra	addr_taken|orphan
0x8001368C	140	func_8001368C	medium	0	u32	1	1	40	s0|ra	addr_taken|orphan
0x80013718	112	func_80013718	medium	0	u32	0	4	24	s0|ra	orphan
0x80013788	152	func_80013788	medium	0	u32	1	4	40	s0|ra	addr_taken|orphan
0x80013820	128	func_80013820	medium	0	u32	3	6	24	s0|ra	addr_taken|orphan
0x800138A0	292	func_800138A0	medium	0	u32	1	8	0	ra	addr_taken|orphan
0x800139C4	8	func_800139C4	low	0	void	1	0	0		leaf|orphan
0x800139CC	132	func_800139CC	medium	0	u32	1	2	24	ra	addr_taken|orphan
0x80013A50	128	func_80013A50	medium	0	u32	0	2	24	s0|ra	orphan
0x80013AD0	152	func_80013AD0	medium	0	u32	1	7	24	ra	addr_taken|orphan
0x80013B68	60	func_80013B68	medium	0	u32	1	1	0		leaf|addr_taken|orphan
0x80013BA4	24	func_80013BA4	medium	0	u32	1	1	0		leaf|addr_taken|orphan
0x80013BBC	24	func_80013BBC	medium	0	u32	1	1	0		leaf|addr_taken|orphan
0x80013BD4	84	func_80013BD4	medium	0	u32	1	4	24	ra	addr_taken|orphan
0x80013C28	80	func_80013C28	medium	0	u32	1	4	24	ra	addr_taken|orphan
0x80013C78	8	func_80013C78	low	0	void	0	0	0		leaf|orphan
0x80013C80	116	func_80013C80	medium	0	u32	3	4	24	ra	addr_taken|orphan
0x80013CF4	100	func_80013CF4	medium	0	u32	1	3	24	s0|ra	addr_taken|orphan
0x80013D58	44	func_80013D58	medium	0	u32	1	0	0		leaf|addr_taken|orphan
0x80013D84	92	func_80013D84	medium	0	u32	0	4	24	ra	orphan
0x80013DE0	104	func_80013DE0	medium	0	u32	1	6	24	ra	addr_taken|orphan
0x80013E48	24	func_80013E48	medium	0	u32	1	1	0		leaf|addr_taken|orphan
0x80013E60	96	func_80013E60	medium	0	u32	1	3	24	ra	addr_taken|orphan
0x80013EC0	160	func_80013EC0	medium	0	u32	1	7	24	ra	addr_taken|orphan
0x80013F60	72	func_80013F60	medium	0	u32	1	3	24	ra	addr_taken|orphan
0x80013FA8	44	func_80013FA8	medium	0	u32	1	0	0		leaf|addr_taken|orphan
0x80013FD4	96	func_80013FD4	medium	0	u32	1	4	24	ra	addr_taken|orphan
0x80014034	76	func_80014034	medium	0	u32	1	4	24	ra	addr_taken|orphan
0x80014080	56	func_80014080	medium	0	u32	1	1	0	ra	addr_taken|orphan
0x800140B8	72	func_800140B8	medium	0	u32	2	4	24	ra	addr_taken|orphan
0x80014100	100	func_80014100	medium	0	u32	2	5	24	s0|ra	addr_taken|orphan
0x80014164	64	func_80014164	medium	0	u32	1	3	24	ra	addr_taken|orphan
0x800141A4	120	func_800141A4	medium	0	u32	1	6	24	s0|ra	addr_taken|orphan
0x8001421C	92	func_8001421C	medium	0	u32	1	3	24	ra	addr_taken|orphan
0x80014278	92	func_80014278	medium	0	u32	1	5	24	ra	addr_taken|orphan
0x800142D4	32	func_800142D4	medium	0	u32	1	1	0		leaf|addr_taken|orphan
0x800142F4	80	func_800142F4	medium	0	u32	1	3	24	ra	addr_taken|orphan
0x80014344	236	func_80014344	medium	0	u32	2	4	0	ra	addr_taken|orphan
0x80014430	148	func_80014430	medium	0	u32	1	8	24	ra	addr_taken|orphan
0x800144C4	136	func_800144C4	medium	0	u32	1	4	24	ra	addr_taken|orphan
0x8001454C	72	func_8001454C	medium	0	u32	1	5	24	ra	addr_taken|orphan
0x80014594	72	func_80014594	medium	0	u32	1	3	24	ra	addr_taken|orphan
0x800145DC	96	func_800145DC	medium	0	u32	0	4	24	ra	orphan
0x8001463C	76	func_8001463C	medium	0	u32	1	4	24	ra	addr_taken|orphan
0x80014688	56	func_80014688	medium	0	u32	1	1	0	ra	addr_taken|orphan
0x800146C0	72	func_800146C0	medium	0	u32	2	4	24	ra	addr_taken|orphan
0x80014708	100	func_80014708	medium	0	u32	2	5	24	s0|ra	addr_taken|orphan
0x8001476C	64	func_8001476C	medium	0	u32	1	3	24	ra	addr_taken|orphan
0x800147AC	120	func_800147AC	medium	0	u32	1	6	24	s0|ra	addr_taken|orphan
0x80014824	92	func_80014824	medium	0	u32	1	3	24	ra	addr_taken|orphan
