addr	size	name	confidence	args	ret	callers	callees	frame	saved	tags
0x80012480	220	func_80012480	verified	0	u32	2	4	24	ra	
0x8001255C	272	func_8001255C	verified	0	u32	1	21	32	ra	
0x80012680	136	func_80012680	low	1	u32	1	0	0		leaf|orphan
0x80012708	180	func_80012708	low	0	u32	1	1	0	s0|ra	orphan
0x80012814	860	func_80012814	low	0	u32	0	14	0	s0|s1|s2|s3|s4|s5|ra	orphan
0x80012B78	20	func_80012B78	low	0	u32	1	0	0		leaf|orphan
0x80012BC0	56	func_80012BC0	verified	1	void	1	3	24	s0|ra	
0x80012BF8	84	func_80012BF8	verified	0	u32	1	2	24	ra	
0x80012C5C	108	func_80012C5C	medium	0	u32	5	3	32	s0|s1|ra	orphan
0x80012D24	88	func_80012D24	medium	0	u32	0	1	24	s0|ra	orphan
0x80012E20	104	func_80012E20	medium	0	u32	0	2	24	s0|ra	orphan
0x80013038	80	func_80013038	low	0	u32	0	1	0	ra	orphan
0x80013168	132	func_80013168	medium	0	u32	0	4	24	s0|ra	orphan
0x800133EC	204	func_800133EC	medium	0	u32	0	5	24	s0|ra	orphan
0x8001368C	140	func_8001368C	medium	0	u32	0	1	40	s0|ra	orphan
0x80013788	152	func_80013788	medium	0	u32	0	2	40	s0|ra	orphan
0x800138A0	292	func_800138A0	low	0	u32	0	3	0	ra	orphan
0x800139C4	8	func_800139C4	low	0	void	1	0	0		leaf|orphan
0x800140B8	72	func_800140B8	medium	0	u32	0	3	24	ra	orphan
0x800146C0	72	func_800146C0	medium	0	u32	0	3	24	ra	orphan
0x80014BEC	112	func_80014BEC	verified	1	u32	2	3	24	s0|ra	
0x80014C98	56	func_80014C98	verified	1	void	1	1	32	s0|s1|ra	
0x80014CD0	356	func_80014CD0	verified	0	u32	1	3	40	s0|s1|s2|s3|s4|ra	
0x80014E34	24	func_80014E34	high	1	u32	3	0	0		leaf
0x80014E4C	24	func_80014E4C	low	1	u32	24	0	0		leaf|orphan
0x80014E64	72	func_80014E64	medium	0	u32	12	1	24	s0|ra	orphan
0x80014EAC	120	func_80014EAC	high	1	u32	2	0	0		leaf
0x80014F24	240	func_80014F24	verified	3	u32	57	1	24	s0|ra	
0x80015034	96	func_80015034	medium	3	u32	8	2	32	s0|s1|s2|ra	orphan
0x80015094	200	func_80015094	verified	1	u32	6	3	40	s0|s1|s2|s3|ra	
0x8001515C	48	func_8001515C	verified	0	void	37	1	24	s0|ra	addr_taken
0x8001518C	80	func_8001518C	medium	1	u32	9	1	24	s0|ra	orphan
0x8001520C	52	func_8001520C	medium	2	void	4	1	32	s0|s1|ra	orphan
0x80015240	32	func_80015240	medium	0	void	1	1	24	ra	orphan
0x80015260	32	func_80015260	medium	0	void	2	1	24	ra	orphan
0x80015280	44	func_80015280	medium	1	void	3	2	24	s0|ra	orphan
0x800152AC	52	func_800152AC	low	2	u32	23	0	0		leaf|orphan
0x800152E0	8	func_800152E0	high	0	void	1	0	0		leaf
0x800152E8	216	func_800152E8	medium	0	u32	1	2	40	s0|s1|s2|s3|ra	indirect
0x800153C0	20	func_800153C0	low	2	u32	1	0	0		leaf|orphan
0x800153D4	20	func_800153D4	low	2	u32	3	0	0		leaf|orphan
0x800153FC	36	func_800153FC	low	1	u32	11	0	0		leaf|orphan
0x80015420	12	func_80015420	low	1	u32	4	0	0		leaf|orphan
0x8001542C	36	func_8001542C	low	1	u32	30	0	0		leaf|orphan
0x80015450	444	func_80015450	medium	0	u32	1	2	64	s0|s1|s2|ra	orphan
0x8001560C	220	func_8001560C	low	0	u32	1	0	0		leaf|orphan
0x800156E8	744	func_800156E8	medium	0	u32	1	7	32	s0|s1|ra	orphan
0x800159D0	144	func_800159D0	medium	0	u32	1	1	48	s0|s1|ra	orphan
0x80015A60	568	func_80015A60	low	0	u32	1	6	0	s0|s1|ra	orphan
0x80015C98	188	func_80015C98	medium	0	u32	1	1	48	s0|s1|ra	orphan
0x80015D54	604	func_80015D54	low	0	u32	1	6	0	s0|s1|ra	orphan
0x80015FCC	412	func_80015FCC	low	0	u32	1	2	0	s0|s1|ra	orphan
0x80016168	60	func_80016168	medium	0	u32	1	1	24	ra	orphan
0x800161A4	40	func_800161A4	medium	0	void	0	2	24	ra	orphan
0x800161CC	212	func_800161CC	medium	0	u32	1	6	40	s0|ra	orphan
0x800162A0	32	func_800162A0	medium	0	void	1	1	24	ra	orphan
0x800162C0	180	func_800162C0	medium	0	u32	1	3	24	s0|ra	orphan
0x80016374	1080	func_80016374	verified	0	u32	1	13	48	s0|s1|s2|s3|s4|s5|s6|ra	
0x800167AC	136	func_800167AC	low	3	u32	1	0	0		leaf|orphan
